
time (s)          v("VIN" ?resul    v("VOUT" ?resu    getData("VDD:p
 5.740000e-04      2.499551e+00      8.733652e-01     -2.582861e-04     
 5.760000e-04      2.499540e+00      8.733703e-01     -2.582857e-04     
 5.780000e-04      2.499529e+00      8.733754e-01     -2.582854e-04     
 5.800000e-04      2.499518e+00      8.733804e-01     -2.582851e-04     
 5.820000e-04      2.499507e+00      8.733854e-01     -2.582848e-04     
 5.840000e-04      2.499496e+00      8.733903e-01     -2.582845e-04     
 5.860000e-04      2.499485e+00      8.733952e-01     -2.582842e-04     
 5.880000e-04      2.499474e+00      8.734001e-01     -2.582839e-04     
 5.900000e-04      2.499464e+00      8.734050e-01     -2.582836e-04     
 5.920000e-04      2.499453e+00      8.734098e-01     -2.582833e-04     
 5.940000e-04      2.499443e+00      8.734145e-01     -2.582830e-04     
 5.960000e-04      2.499432e+00      8.734193e-01     -2.582827e-04     
 5.980000e-04      2.499422e+00      8.734239e-01     -2.582824e-04     
 6.000000e-04      2.499412e+00      8.734286e-01     -2.582821e-04     
 6.020000e-04      2.499402e+00      8.734332e-01     -2.582818e-04     
 6.040000e-04      2.499392e+00      8.734378e-01     -2.582815e-04     
 6.060000e-04      2.499382e+00      8.734423e-01     -2.582812e-04     
 6.080000e-04      2.499372e+00      8.734467e-01     -2.582810e-04     
 6.100000e-04      2.499362e+00      8.734512e-01     -2.582807e-04     
 6.120000e-04      2.499352e+00      8.734556e-01     -2.582804e-04     
 6.140000e-04      2.499343e+00      8.734599e-01     -2.582801e-04     
 6.160000e-04      2.499333e+00      8.734642e-01     -2.582799e-04     
 6.180000e-04      2.499324e+00      8.734684e-01     -2.582796e-04     
 6.200000e-04      2.499315e+00      8.734726e-01     -2.582793e-04     
 6.220000e-04      2.499306e+00      8.734768e-01     -2.582791e-04     
 6.240000e-04      2.499297e+00      8.734809e-01     -2.582788e-04     
 6.260000e-04      2.499288e+00      8.734849e-01     -2.582786e-04     
 6.280000e-04      2.499279e+00      8.734889e-01     -2.582783e-04     
 6.300000e-04      2.499271e+00      8.734928e-01     -2.582781e-04     
 6.320000e-04      2.499262e+00      8.734967e-01     -2.582778e-04     
 6.340000e-04      2.499254e+00      8.735006e-01     -2.582776e-04     
 6.360000e-04      2.499245e+00      8.735043e-01     -2.582773e-04     
 6.380000e-04      2.499237e+00      8.735081e-01     -2.582771e-04     
 6.400000e-04      2.499229e+00      8.735117e-01     -2.582769e-04     
 6.420000e-04      2.499221e+00      8.735154e-01     -2.582767e-04     
 6.440000e-04      2.499213e+00      8.735189e-01     -2.582764e-04     
 6.460000e-04      2.499206e+00      8.735224e-01     -2.582762e-04     
 6.480000e-04      2.499198e+00      8.735259e-01     -2.582760e-04     
 6.500000e-04      2.499190e+00      8.735293e-01     -2.582758e-04     
 6.520000e-04      2.499183e+00      8.735326e-01     -2.582756e-04     
 6.540000e-04      2.499176e+00      8.735359e-01     -2.582754e-04     
 6.560000e-04      2.499169e+00      8.735391e-01     -2.582752e-04     
 6.580000e-04      2.499162e+00      8.735422e-01     -2.582750e-04     
 6.600000e-04      2.499155e+00      8.735453e-01     -2.582748e-04     
 6.620000e-04      2.499149e+00      8.735484e-01     -2.582746e-04     
 6.640000e-04      2.499142e+00      8.735513e-01     -2.582744e-04     
